ZIP,MYear,Fuel,Make,Duty,Vehicles
90001,<2005,Gasoline ,PONTIAC,Light,101
90001,<2005,Gasoline ,SATURN,Light,90
90001,<2005,Gasoline ,SCION,Light,21
90001,<2005,Gasoline ,SUBARU,Light,23
90001,<2005,Gasoline ,SUZUKI,Light,32
90001,<2005,Gasoline ,TOYOTA,Light,2999
90001,<2005,Gasoline ,VOLKSWAGEN,Light,190
90001,<2005,Gasoline ,VOLVO,Light,39
90001,<2005,HG,OTHER/UNK,Light,8
90001,<2005,HG,TOYOTA,Light,15
90001,<2005,N,OTHER/UNK,Light,5
90001,<2005,P,OTHER/UNK,Heavy,1
90002,2005,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,23
90002,2005,Diesel and Diesel Hybrid ,OTHER/UNK,Light,7
90002,2005,FXE,CHEVROLET,Light,21
90002,2005,FXE,CHRYSLER,Light,14
90002,2005,FXE,FORD,Light,13
90002,2005,FXE,OTHER/UNK,Light,23
90002,2005,Gasoline ,ACURA,Light,29
90002,2005,Gasoline ,BMW,Light,22
90002,2005,Gasoline ,BUICK,Light,15
90002,2005,Gasoline ,CADILLAC,Light,35
90002,2005,Gasoline ,CHEVROLET,Light,186
90002,2005,Gasoline ,CHRYSLER,Light,59
90002,2005,Gasoline ,DODGE,Light,89
90002,2005,Gasoline ,FORD,Light,165
90002,2005,Gasoline ,GMC,Light,36
90002,2005,Gasoline ,HONDA,Light,138
90002,2005,Gasoline ,HYUNDAI,Light,16
90002,2005,Gasoline ,INFINITI,Light,40
90002,2005,Gasoline ,JEEP,Light,23
90002,2005,Gasoline ,KIA,Light,35
90002,2005,Gasoline ,LEXUS,Light,15
90002,2005,Gasoline ,MAZDA,Light,21
90002,2005,Gasoline ,MERCEDES-BENZ,Light,12
90002,2005,Gasoline ,NISSAN,Light,276
90002,2005,Gasoline ,OTHER/UNK,Heavy,5
90002,2005,Gasoline ,OTHER/UNK,Light,63
90002,2005,Gasoline ,PONTIAC,Light,22
90002,2005,Gasoline ,SATURN,Light,14
90002,2005,Gasoline ,SCION,Light,41
90002,2005,Gasoline ,TOYOTA,Light,286
90002,2005,Gasoline ,VOLKSWAGEN,Light,13
90002,2005,HG,OTHER/UNK,Light,18
90002,2006,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,7
90002,2006,Diesel and Diesel Hybrid ,OTHER/UNK,Light,7
90002,2006,FXE,CHEVROLET,Light,43
90002,2006,FXE,DODGE,Light,11
90002,2006,FXE,OTHER/UNK,Light,26
90002,2006,Gasoline ,ACURA,Light,30
90002,2006,Gasoline ,BMW,Light,36
90002,2006,Gasoline ,CADILLAC,Light,16
90002,2006,Gasoline ,CHEVROLET,Light,146
90002,2006,Gasoline ,CHRYSLER,Light,96
90002,2006,Gasoline ,DODGE,Light,100
90002,2006,Gasoline ,FORD,Light,144
90002,2006,Gasoline ,GMC,Light,27
90002,2006,Gasoline ,HONDA,Light,158
90002,2006,Gasoline ,HYUNDAI,Light,18
90002,2006,Gasoline ,INFINITI,Light,41
90002,2006,Gasoline ,JEEP,Light,26
90002,2006,Gasoline ,KIA,Light,33
90002,2006,Gasoline ,LEXUS,Light,25
90002,2006,Gasoline ,MAZDA,Light,11
90002,2006,Gasoline ,MERCEDES-BENZ,Light,25
90002,2006,Gasoline ,NISSAN,Light,208
90002,2006,Gasoline ,OTHER/UNK,Heavy,4
90002,2006,Gasoline ,OTHER/UNK,Light,92
90002,2006,Gasoline ,PONTIAC,Light,20
90002,2006,Gasoline ,SCION,Light,64
90002,2006,Gasoline ,TOYOTA,Light,236
90002,2006,Gasoline ,VOLKSWAGEN,Light,18
90002,2006,HG,OTHER/UNK,Light,11
90002,2006,HG,TOYOTA,Light,12
90002,2007,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,12
90002,2007,Diesel and Diesel Hybrid ,OTHER/UNK,Light,3
90002,2007,FXE,CHEVROLET,Light,70
90002,2007,FXE,GMC,Light,13
90002,2007,FXE,OTHER/UNK,Light,26
90002,2007,Gasoline ,ACURA,Light,14
90002,2007,Gasoline ,AUDI,Light,11
90002,2007,Gasoline ,BMW,Light,34
90002,2007,Gasoline ,CADILLAC,Light,28
90002,2007,Gasoline ,CHEVROLET,Light,140
90002,2007,Gasoline ,CHRYSLER,Light,56
90002,2007,Gasoline ,DODGE,Light,66
90002,2007,Gasoline ,FORD,Light,96
90002,2007,Gasoline ,GMC,Light,27
90002,2007,Gasoline ,HONDA,Light,138
90002,2007,Gasoline ,HYUNDAI,Light,16
90002,2007,Gasoline ,INFINITI,Light,34
90002,2007,Gasoline ,JEEP,Light,24
